rt50	type_label_modal	type_labels	loci	exact_rt	rt90	loci_per_rt90	genomes	species	genera	phyla	sources	matched_local	matched_t1	unmatched_adequate	unmatched_limited	rt90_matched_s12	rt90_unmatched_s12	rt90_unmatched_s3	cm_models	padloc_xii_loci	DENOVO_FEASIBLE_S12	DENOVO_FEASIBLE_S3
31779c177185c95610169a439dc0a942603eaa0e659cfd6df6feaffd0f3388e4	XI	XI	84	38	13	6.5	84	52	29	4	mgnify_marine|gem|gtdb_bacteria|ncbi_bacteria	0	0	81	3	0	0	13		0.0	False	True
eceea1e0fb893752c91e0f6697f102d60bb6d668a9b97d9aa293b2e0e8814165	VI	VI|UNLABELLED	33	17	13	2.5	32	15	11	3	gem|gtdb_bacteria|ncbi_bacteria|gtdb_archaea|ncbi_archaea	0	0	33	0	0	12	0		0.0	True	False
20cfb9c9fb4182d91321ef6d53e9e2305bc584d0c7a38342c8ee8e292bbdad77	II-A	UNLABELLED|II-A	15	14	14	1.1	15	10	9	2	gtdb_bacteria|ncbi_archaea|ncbi_bacteria	0	0	14	1	0	9	0		0.0	True	False
da0333117efcd404c5ec041efb33edd73c99c02e6b15a80e4aa7d336a1c8fc06	XI	XI	62	25	14	4.4	62	29	10	2	ncbi_bacteria|mgnify_soil|gtdb_bacteria	0	0	60	2	0	0	13		0.0	False	True
acf61c882e506633f864fc90ad5c1c390b7b9590a0f6ee6acf66c1244831c68b	XI	XI	43	17	13	3.3	43	24	11	2	gtdb_bacteria|mgnify_marine|gem|ncbi_bacteria	0	0	43	0	0	0	13		0.0	False	True
e6b22648e2dea19454964008be88aa77de3137580ac07710aa2403aefd0b7a5c	VII-A2	IX|VII-A2|UNLABELLED	51	16	15	3.4	51	26	10	2	ncbi_bacteria|gem|gtdb_bacteria	0	0	46	5	0	12	0		0.0	True	False
7f8739a445cb0a87f39b75080c88c5661ec09fd2add1842ede146bc6782ac8e1	III-A	III-A	811	64	14	57.9	720	57	28	4	gtdb_bacteria|mgnify_human_gut|gem|ncbi_bacteria	0	0	707	104	0	12	0		0.0	True	False
05b18c010665c7084380241634b30a91ad9a21ae154020c8d4fe65b730d1eee0	III-A	III-A|I-A|UNLABELLED	499	49	12	41.6	494	74	36	6	gtdb_bacteria|mgnify_human_gut|gem|ncbi_bacteria	0	0	492	7	0	12	0		0.0	True	False
89a454d4c7eaf3f96e3f184110ad579c6a439743e3e8abc97eb1055b4b506dc2	I-B	VII-A2|I-B	55	27	12	4.6	55	29	12	2	ncbi_bacteria|gem|gtdb_bacteria	0	0	55	0	0	12	0		0.0	True	False
b612ec48638360c5a840c59bd7237e964999a9769748632d876836e27aaca409	XII	UNLABELLED|XII|XI	24	18	13	1.8	24	17	12	2	mgnify_marine|ncbi_bacteria|gem|gtdb_bacteria	0	0	23	1	0	0	10		0.0	False	True
45be67d658dedfb2042eee3129ee1540efc728a34c2f725f1a071424507846dd	VI	VI|UNLABELLED	42	18	12	3.5	42	28	12	2	gtdb_bacteria|mgnify_marine|ncbi_bacteria	0	0	42	0	0	11	0		0.0	True	False
b1c7e5186b2e2f73a8e51d3455a1d214114fee29d0eef4356620d75dd2907305	II-A	UNLABELLED|II-A	1440	82	12	120.0	1395	55	21	4	mgnify_soil|ncbi_bacteria|gtdb_bacteria|mgnify_human_gut|gem	0	0	1387	53	0	12	0		0.0	True	False
976ed23fd8b98445822aadd8a64e06448961fbc15a6410b51d34000a493bd7ca	VI	VI|UNLABELLED	36	18	12	3.0	36	22	12	2	ncbi_bacteria|gtdb_bacteria	0	0	36	0	0	11	0		0.0	True	False
60f80a34a5de00463c0e6dc5186ee758b482311d39ef1415f4b7b0a3c840cdf9	XII	XII	33	24	17	1.9	33	23	17	4	gem|gtdb_bacteria|ncbi_bacteria|mgnify_marine	0	0	18	15	0	0	12		32.0	False	True
6c204ed0ea030ee9a481eb4d09129816d7af46d0a57648c2894e537c7a9b911f	VI	VI|UNLABELLED	33	26	14	2.4	33	13	8	2	ncbi_bacteria|gtdb_bacteria	0	0	21	12	0	11	0		0.0	True	False
35c2668b3891182158a2fa6ef773ac8ea9dac3ed961ad462cabd431df77594d3	VI	VI|UNLABELLED	28	15	13	2.2	28	20	14	3	gem|mgnify_soil|ncbi_bacteria|gtdb_bacteria	0	0	26	2	0	11	0		0.0	True	False
2c8bba7d2cddb57cf18c9d3d0714f2a13d6821ee5c5d2f603e1ffaefcea6642a	VI	UNLABELLED|VI	62	22	12	5.2	62	32	12	2	gtdb_bacteria|ncbi_bacteria	0	0	62	0	0	9	0		0.0	True	False
