component_id	n_pairs	n_tok	n_distinct_rt	n_distinct_ncrna	n_retron_types	n_rt_homolog_groups	cv_fold	dominant_retron_type	any_T4	any_T3	in_sensitivity_population	mean_nearest_train_rt_cosine	relatedness_stratum	nll_per_nt_U	nll_per_nt_T	nll_per_nt_G	nll_per_nt_R	nll_per_nt_P	delta_R_minus_T	delta_R_minus_G	delta_R_minus_P	delta_P_minus_T	delta_logP_C1	n_pairs_C1	delta_logP_C2	n_pairs_C2	delta_logP_C3	n_pairs_C3	delta_logP_C4	n_pairs_C4
CMP00072	30	7859	29	23	2	7	3	TypeIIIA3	1	1	0	0.990138	Q4	1.433054	1.41978	1.406322	1.404316	1.401022	-0.015464	-0.002006	0.003294	-0.018758	0.003045	30	0.003024	22	-0.002576	30	0.001656	26
CMP00073	30	4557	30	28	2	1	2	TypeIIA3_proteo	1	1	0	0.990827	Q3	1.426143	1.383406	1.402027	1.386765	1.379587	0.003359	-0.015262	0.007178	-0.003819	-0.002217	30	-0.002283	30	-0.001506	30	0.004133	30
CMP00074	30	6092	29	19	1	4	1	TypeIIA3_firmi	1	1	0	0.986075	Q2	1.378252	1.374039	1.368734	1.347157	1.370603	-0.026882	-0.021577	-0.023446	-0.003436	0.017609	30	0.016892	26	0.001033	30	0.000808	25
CMP00075	29	3377	24	19	1	4	4	TypeIB1	1	1	0	0.993406	Q4	1.422729	1.359867	1.391621	1.351901	1.38225	-0.007966	-0.03972	-0.030349	0.022383	0.00096	29	0.001456	27	-0.005161	29	0.002559	27
CMP00076	28	4503	28	27	1	2	3	TypeXIII_Mx65	0	0	0	0.987372	Q2	1.401134	1.388069	1.365689	1.372922	1.41914	-0.015147	0.007233	-0.046218	0.031071	0.00269	28	0.002353	27	0.002078	28	0.002697	27
CMP00077	27	4337	25	15	1	2	2	TypeIB2	1	1	0	0.993757	Q4	1.439224	1.373261	1.377247	1.369856	1.364928	-0.003405	-0.007391	0.004928	-0.008333	2e-05	27	-0.009074	27	-0.001484	27	0.002314	27
CMP00078	27	3979	27	25	1	2	1	TypeIB1	1	1	0	0.99235	Q4	1.404641	1.395706	1.383533	1.38718	1.405203	-0.008526	0.003647	-0.018023	0.009497	0.005329	27	0.004097	27	0.001828	27	0.001355	27
CMP00079	27	4135	24	8	1	2	4	Ec107_like	0	0	0	0.983191	Q2	1.426952	1.44369	1.424302	1.445875	1.452028	0.002185	0.021573	-0.006153	0.008338	0.002182	27	0.002172	27	-0.012698	27	-0.008278	26
CMP00080	26	3332	26	10	1	2	2	TypeIC1_IC2	1	1	0	0.991906	Q4	1.442728	1.361681	1.25861	1.263782	1.311722	-0.097899	0.005172	-0.04794	-0.049959	0.006078	26	0.006331	22	-0.000523	26	0.003642	26
CMP00081	26	3577	25	14	1	6	3	TypeIC1_IC2	1	1	0	0.991814	Q4	1.380278	1.364562	1.332674	1.285403	1.396395	-0.079159	-0.047271	-0.110992	0.031833	0.006889	26	0.008386	18	-0.00522	26	0.006427	23
